x,y,z
14.714418354,25.259000000,56.986057942
14.717996756,25.326000000,57.019694849
14.721629452,25.393000000,57.053643507
14.725315539,25.460000000,57.087897601
14.729054116,25.527000000,57.122450819
14.732844280,25.594000000,57.157296845
14.736685130,25.661000000,57.192429366
14.740575762,25.728000000,57.227842066
14.744515275,25.795000000,57.263528633
14.748502766,25.862000000,57.299482751
14.752537334,25.929000000,57.335698106
14.756618076,25.996000000,57.372168385
14.760744090,26.063000000,57.408887272
14.764914473,26.130000000,57.445848455
14.769128324,26.197000000,57.483045617
14.773384740,26.264000000,57.520472446
14.777682819,26.331000000,57.558122627
14.782021660,26.398000000,57.595989846
14.786400358,26.465000000,57.634067788
14.790818014,26.532000000,57.672350140
14.795273724,26.599000000,57.710830586
14.799766585,26.666000000,57.749502814
14.804295697,26.733000000,57.788360508
14.808860156,26.800000000,57.827397354
14.813459061,26.867000000,57.866607039
14.818091510,26.934000000,57.905983248
14.822756599,27.001000000,57.945519666
14.827453427,27.068000000,57.985209980
14.832181092,27.135000000,58.025047875
14.836938691,27.202000000,58.065027037
14.841725323,27.269000000,58.105141152
14.846540085,27.336000000,58.145383906
14.851382075,27.403000000,58.185748983
14.856250390,27.470000000,58.226230071
14.861144129,27.537000000,58.266820855
14.866062389,27.604000000,58.307515021
14.871004269,27.671000000,58.348306253
14.875968865,27.738000000,58.389188239
14.880955276,27.805000000,58.430154664
14.885962600,27.872000000,58.471199214
14.890989934,27.939000000,58.512315574
14.896036375,28.006000000,58.553497431
14.901101023,28.073000000,58.594738469
14.906182975,28.140000000,58.636032376
14.911281328,28.207000000,58.677372836
14.916395180,28.274000000,58.718753535
14.921523630,28.341000000,58.760168159
14.926665775,28.408000000,58.801610395
14.931820712,28.475000000,58.843073927
14.936987539,28.542000000,58.884552441
14.942165355,28.609000000,58.926039624
14.947353258,28.676000000,58.967529160
14.952550344,28.743000000,59.009014736
14.957755711,28.810000000,59.050490038
14.962968459,28.877000000,59.091948751
14.968187683,28.944000000,59.133384561
14.973412483,29.011000000,59.174791154
14.978641956,29.078000000,59.216162216
14.983875199,29.145000000,59.257491432
14.989111311,29.212000000,59.298772488
14.994349389,29.279000000,59.339999070
14.999588532,29.346000000,59.381164864
15.004827836,29.413000000,59.422263555
15.010066400,29.480000000,59.463288829
15.015303322,29.547000000,59.504234372
15.020537699,29.614000000,59.545093870
15.025768629,29.681000000,59.585861009
15.030995210,29.748000000,59.626529474
15.036216539,29.815000000,59.667092951
15.041431716,29.882000000,59.707545125
15.046639836,29.949000000,59.747879684
15.051839999,30.016000000,59.788090312
15.057031301,30.083000000,59.828170695
15.062212842,30.150000000,59.868114518
15.067383718,30.217000000,59.907915469
15.072543027,30.284000000,59.947567232
15.077689867,30.351000000,59.987063493
15.082823337,30.418000000,60.026397938
15.087942533,30.485000000,60.065564253
15.093046553,30.552000000,60.104556124
15.098134496,30.619000000,60.143367236
15.103205459,30.686000000,60.181991275
15.108258540,30.753000000,60.220421927
15.113292837,30.820000000,60.258652877
15.118307447,30.887000000,60.296677812
15.123301469,30.954000000,60.334490417
15.128274000,31.021000000,60.372084378
15.133224138,31.088000000,60.409453380
15.138150980,31.155000000,60.446591110
15.143053625,31.222000000,60.483491254
15.147931171,31.289000000,60.520147496
15.152782714,31.356000000,60.556553523
15.157607354,31.423000000,60.592703021
15.162404187,31.490000000,60.628589675
15.167172311,31.557000000,60.664207171
15.171910826,31.624000000,60.699549195
15.176618827,31.691000000,60.734609433
15.181295413,31.758000000,60.769381570
15.185939682,31.825000000,60.803859292
15.190550732,31.892000000,60.838036285
15.195127659,31.959000000,60.871906235
15.199669563,32.026000000,60.905462828
15.204175541,32.093000000,60.938699748
15.208644691,32.160000000,60.971610683
15.213076273,32.227000000,61.004190539
15.217470195,32.294000000,61.036439110
15.221826530,32.361000000,61.068357411
15.226145348,32.428000000,61.099946457
15.230426721,32.495000000,61.131207263
15.234670720,32.562000000,61.162140845
15.238877417,32.629000000,61.192748217
15.243046883,32.696000000,61.223030395
15.247179188,32.763000000,61.252988393
15.251274406,32.830000000,61.282623227
15.255332606,32.897000000,61.311935911
15.259353860,32.964000000,61.340927462
15.263338240,33.031000000,61.369598894
15.267285816,33.098000000,61.397951222
15.271196661,33.165000000,61.425985461
15.275070845,33.232000000,61.453702626
15.278908440,33.299000000,61.481103733
15.282709517,33.366000000,61.508189796
15.286474148,33.433000000,61.534961831
15.290202403,33.500000000,61.561420853
15.293894355,33.567000000,61.587567877
15.297550074,33.634000000,61.613403917
15.301169631,33.701000000,61.638929990
15.304753099,33.768000000,61.664147110
15.308300548,33.835000000,61.689056292
15.311812050,33.902000000,61.713658551
15.315287676,33.969000000,61.737954903
15.318727497,34.036000000,61.761946363
15.322131585,34.103000000,61.785633945
15.325500011,34.170000000,61.809018665
15.328832847,34.237000000,61.832101538
15.332130163,34.304000000,61.854883579
15.335392031,34.371000000,61.877365802
15.338618523,34.438000000,61.899549225
15.341809709,34.505000000,61.921434860
15.344965661,34.572000000,61.943023724
15.348086451,34.639000000,61.964316831
15.351172149,34.706000000,61.985315197
15.354222828,34.773000000,62.006019836
15.357238557,34.840000000,62.026431765
15.360219410,34.907000000,62.046551997
15.363165456,34.974000000,62.066381548
