x,y,z
-15.645287400,13.132000000,37.347103190
-15.633740900,13.199000000,37.527004367
-15.622042013,13.266000000,37.705937031
-15.610200081,13.333000000,37.883890521
-15.598224449,13.400000000,38.060855146
-15.586129888,13.467000000,38.236806306
-15.573931194,13.534000000,38.411720166
-15.561637753,13.601000000,38.585495180
-15.549258946,13.668000000,38.757791094
-15.536804157,13.735000000,38.928257234
-15.524282770,13.802000000,39.096574751
-15.511704168,13.869000000,39.262455175
-15.499077734,13.936000000,39.425638972
-15.486412852,14.003000000,39.585894133
-15.473718906,14.070000000,39.743014778
-15.461005277,14.137000000,39.896819777
-15.448281351,14.204000000,40.047151415
-15.435556509,14.271000000,40.193874074
-15.422840136,14.338000000,40.336872950
-15.410141615,14.405000000,40.476052813
-15.397470330,14.472000000,40.611336795
-15.384835663,14.539000000,40.742665216
-15.372246998,14.606000000,40.869994457
-15.359713719,14.673000000,40.993295867
-15.347245208,14.740000000,41.112554716
-15.334850850,14.807000000,41.227769183
-15.322540027,14.874000000,41.338949397
-15.310322123,14.941000000,41.446116510
-15.298206522,15.008000000,41.549301824
-15.286202606,15.075000000,41.648545951
-15.274319759,15.142000000,41.743898022
-15.262567365,15.209000000,41.835414935
-15.250954806,15.276000000,41.923160648
-15.239491467,15.343000000,42.007205511
-15.228186730,15.410000000,42.087625641
-15.217049979,15.477000000,42.164502333
-15.206090597,15.544000000,42.237921515
-15.195317968,15.611000000,42.307973241
-15.184741475,15.678000000,42.374751214
-15.174370501,15.745000000,42.438352359
-15.164214430,15.812000000,42.498876417
-15.154282646,15.879000000,42.556425585
-15.144584531,15.946000000,42.611104181
-15.135129468,16.013000000,42.663018348
-15.125926842,16.080000000,42.712275785
-15.116984235,16.147000000,42.758982813
-15.108302023,16.214000000,42.803236522
-15.099878784,16.281000000,42.845133379
-15.091713093,16.348000000,42.884771756
-15.083803528,16.415000000,42.922251647
-15.076148663,16.482000000,42.957674405
-15.068747077,16.549000000,42.991142479
-15.061597345,16.616000000,43.022759167
-15.054698042,16.683000000,43.052628369
-15.048047747,16.750000000,43.080854358
-15.041645035,16.817000000,43.107541549
-15.035488482,16.884000000,43.132794285
-15.029576665,16.951000000,43.156716630
-15.023908160,17.018000000,43.179412162
-15.018481544,17.085000000,43.200983787
-15.013295392,17.152000000,43.221533547
-15.008348282,17.219000000,43.241162451
-15.003638789,17.286000000,43.259970301
-14.999165490,17.353000000,43.278055532
-14.994926961,17.420000000,43.295515059
-14.990921779,17.487000000,43.312444131
-14.987148519,17.554000000,43.328936196
-14.983605759,17.621000000,43.345082764
-14.980292074,17.688000000,43.360973290
-14.977206042,17.755000000,43.376695053
-14.974346237,17.822000000,43.392333054
-14.971711237,17.889000000,43.407969907
-14.969299619,17.956000000,43.423685750
-14.967109957,18.023000000,43.439558155
-14.965140829,18.090000000,43.455662049
-14.963390811,18.157000000,43.472069639
-14.961858480,18.224000000,43.488850347
-14.960542411,18.291000000,43.506070746
-14.959441181,18.358000000,43.523794509
-14.958553366,18.425000000,43.542082362
-14.957877544,18.492000000,43.560992040
-14.957412289,18.559000000,43.580578254
-14.957156179,18.626000000,43.600892661
-14.957107789,18.693000000,43.621983842
-14.957265697,18.760000000,43.643897284
-14.957628478,18.827000000,43.666675370
-14.958194709,18.894000000,43.690357371
-14.958962966,18.961000000,43.714979446
-14.959931825,19.028000000,43.740574651
-14.961099863,19.095000000,43.767172943
-14.962465657,19.162000000,43.794801201
-14.964027782,19.229000000,43.823483243
